Country Name,Year,SP.POP.0014.TO.ZS,SP.POP.1564.TO.ZS,HDI,Suicide Rate
Guinea,2021,41.8696623532613,54.6990546597345,0.467,5.02
Guinea-Bissau,2019,40.9289087338695,56.0881101552272,0.488,7.0
Guinea-Bissau,2020,40.5414614641464,56.4395965737077,0.482,8.58
Guinea-Bissau,2021,40.1419924748943,56.8112455475567,0.482,8.49
Guyana,2019,29.2543319321748,64.9468529650288,0.711,40.3
Guyana,2020,29.4667432009278,64.5321285998503,0.727,31.71
Guyana,2021,29.4406866123348,64.4780632803667,0.721,31.26
Haiti,2019,32.9323801910877,62.6972382125323,0.559,9.6
Haiti,2020,32.6009921158664,62.9647963935478,0.557,7.16
Haiti,2021,32.272985583827,63.242758901291,0.551,7.18
Heavily indebted poor countries (HIPC),2019,42.88817715363558,54.18529835686909,,
Heavily indebted poor countries (HIPC),2020,42.62815624985869,54.429336903577294,,
Heavily indebted poor countries (HIPC),2021,42.3573959201805,54.690708418816975,,
High income,2019,16.54837573113886,65.60776039930577,,
High income,2020,16.444465382567646,65.38208914000056,,
High income,2021,16.30104288250722,65.17855282098884,,
Honduras,2019,32.6392711477148,63.4708932102134,0.629,2.1
Honduras,2020,32.1804218242733,63.825483721482,0.621,3.9
Honduras,2021,31.7752939017295,64.1540644341067,0.62,3.9
Hong Kong,2019,,,0.953,
Hong Kong,2020,,,0.955,
Hong Kong,2021,,,0.959,
"Hong Kong SAR, China",2019,11.4829745279504,70.5644998078365,,
"Hong Kong SAR, China",2020,11.2771621132607,69.8975753165571,,
"Hong Kong SAR, China",2021,11.0826007236324,69.1624998338255,,
Hungary,2019,14.5496170478703,65.8474599647003,0.854,16.6
Hungary,2020,14.5576627784328,65.3516634491369,0.849,17.01
Hungary,2021,14.5652700940615,65.0297164165967,0.846,16.91
IBRD only,2019,23.565376260809646,67.5652300474395,,
IBRD only,2020,23.27757357607845,67.54137714545172,,
IBRD only,2021,22.95855847214998,67.59370140506533,,
IDA & IBRD total,2019,27.747538958524917,64.76321619995913,,
IDA & IBRD total,2020,27.51539075971807,64.77211182555135,,
IDA & IBRD total,2021,27.26271488444041,64.83933029197237,,
IDA blend,2019,39.94417176908379,56.594869520048974,,
IDA blend,2020,39.66701330886544,56.84413233891101,,
IDA blend,2021,39.35861102257433,57.12919109804108,,
IDA only,2019,39.00194354928575,57.22107752002547,,
IDA only,2020,38.75925747362265,57.41780026828131,,
IDA only,2021,38.52517900417364,57.61574430168125,,
IDA total,2019,39.33270264980517,57.00125392478791,,
IDA total,2020,39.077266215653104,57.21683056973514,,
IDA total,2021,38.816694517696895,57.44555908694986,,
Iceland,2019,18.8726349773149,66.8280660217161,0.958,11.9
Iceland,2020,18.727735438363,66.7078998619802,0.955,12.12
