Country Name,GDP_per_capita,Suicide_rate,HDI_2023,GDP_per_capita_coverage,Suicide_rate_coverage,Low_data_quality_flag,HDI_sq,log_GDP_per_capita,HDI_2023_lag1,GDP_per_capita_lag1,Suicide_rate_lag1,income_group_auto,ISO3,continent,coverage_frac
Bosnia and Herzegovina,5751.347308944572,10.012500000000001,0.804,1.0,0.8,✅ Sufficient data,0.6464160000000001,8.657189420943075,,,,Lower-Middle,BIH,Europe,1.0
Botswana,6821.064797220944,9.0175,0.731,1.0,0.8,✅ Sufficient data,0.534361,8.827770867275474,,,,Lower-Middle,BWA,Africa,1.0
Brazil,8752.020504484579,6.9775,0.786,1.0,0.8,✅ Sufficient data,0.617796,9.077039867493179,,,,Upper-Middle,BRA,America,1.0
Brunei Darussalam,29403.550650505116,2.7975000000000003,0.837,1.0,0.8,✅ Sufficient data,0.700569,10.288870716459956,,,,High,BRN,Asia,1.0
Bulgaria,8815.414857440772,9.5725,0.845,1.0,0.8,✅ Sufficient data,0.7140249999999999,9.084257156395093,,,,Upper-Middle,BGR,Europe,1.0
Burkina Faso,722.0384341543958,8.4725,0.459,1.0,0.8,✅ Sufficient data,0.210681,6.582078370376831,,,,Low,BFA,Africa,1.0
Burundi,258.4220770660391,7.035,0.439,1.0,0.8,✅ Sufficient data,0.192721,5.554594205820937,,,,Low,BDI,Africa,1.0
Cabo Verde,3738.9882999144356,14.399999999999999,0.668,1.0,0.8,✅ Sufficient data,0.44622400000000007,8.226570345770408,,,,Lower-Middle,CPV,Africa,1.0
Cambodia,1950.2555327942348,4.4325,0.606,1.0,0.8,✅ Sufficient data,0.367236,7.575715685431062,,,,Low,KHM,Asia,1.0
Cameroon,1453.618899336538,8.192499999999999,0.588,1.0,0.8,✅ Sufficient data,0.34574399999999994,7.281811518742444,,,,Low,CMR,Africa,1.0
Canada,44538.128716753585,11.5825,0.939,1.0,0.8,✅ Sufficient data,0.8817209999999999,10.70410092638484,,,,High,CAN,America,1.0
Central African Republic,398.1232264201741,9.675,0.414,1.0,0.8,✅ Sufficient data,0.171396,5.986761571484917,,,,Low,CAF,Africa,1.0
Chad,898.5486564042661,5.2275,0.416,1.0,0.8,✅ Sufficient data,0.173056,6.800780857683681,,,,Low,TCD,Africa,1.0
Chile,13681.448949055863,8.809999999999999,0.878,1.0,0.8,✅ Sufficient data,0.770884,9.523796102896343,,,,Upper-Middle,CHL,America,1.0
China,10805.788872320349,8.805,0.797,1.0,0.8,✅ Sufficient data,0.635209,9.287837276208363,,,,Upper-Middle,CHN,Asia,1.0
Colombia,6399.872076388859,4.9775,0.788,1.0,0.8,✅ Sufficient data,0.620944,8.764033281083758,,,,Lower-Middle,COL,America,1.0
Comoros,1456.4988169862852,6.16,0.603,1.0,0.8,✅ Sufficient data,0.36360899999999996,7.283790764168665,,,,Low,COM,Africa,1.0
"Congo, Dem. Rep.",483.90296886544473,8.482499999999998,0.522,1.0,0.8,✅ Sufficient data,0.272484,6.181884409067587,,,,Low,COD,Africa,1.0
"Congo, Rep.",1781.7540391942428,6.735,0.649,1.0,0.8,✅ Sufficient data,0.42120100000000005,7.485353573360885,,,,Low,COG,Africa,1.0
Costa Rica,12926.4479114404,7.2524999999999995,0.833,1.0,0.8,✅ Sufficient data,0.693889,9.467030717198368,,,,Upper-Middle,CRI,America,1.0
Cote d'Ivoire,2107.016532991279,7.5375000000000005,0.582,1.0,0.8,✅ Sufficient data,0.33872399999999997,7.653028260470736,,,,Low,CIV,Africa,1.0
Croatia,14851.556522314893,15.505,0.889,1.0,0.8,✅ Sufficient data,0.790321,9.6058599550555,,,,Upper-Middle,HRV,Europe,1.0
Cuba,7685.769260722713,14.067499999999999,0.762,1.0,0.8,✅ Sufficient data,0.580644,8.947125749951118,,,,Upper-Middle,CUB,America,1.0
Cyprus,29123.884765625,4.234999999999999,0.913,1.0,0.8,✅ Sufficient data,0.8335690000000001,10.279313898825858,,,,High,CYP,Asia,1.0
Czechia,20066.21267172922,12.969999999999999,0.915,1.0,0.8,✅ Sufficient data,0.8372250000000001,9.906792718040437,,,,High,CZE,Europe,1.0
Denmark,57891.36861618352,10.995,0.962,1.0,0.8,✅ Sufficient data,0.9254439999999999,10.966323578461989,,,,High,DNK,Europe,1.0
Djibouti,2809.2923505689114,8.02,0.513,1.0,0.8,✅ Sufficient data,0.263169,7.940687898074899,,,,Lower-Middle,DJI,Africa,1.0
Dominica,8103.573165276459,6.56375,0.761,1.0,0.0,⚠️ Low data reliability,0.579121,9.00006037490624,,,,Upper-Middle,DMA,America,1.0
Dominican Republic,8074.933354914012,5.1075,0.776,1.0,0.8,✅ Sufficient data,0.602176,8.996519894795377,,,,Upper-Middle,DOM,America,1.0
Ecuador,5862.552813536836,8.035,0.777,1.0,0.8,✅ Sufficient data,0.6037290000000001,8.676340421419601,,,,Lower-Middle,ECU,America,1.0
"Egypt, Arab Rep.",3781.571330775777,0.8049999999999999,0.754,1.0,0.8,✅ Sufficient data,0.568516,8.237894898208427,,,,Lower-Middle,EGY,Africa,1.0
El Salvador,4120.2635170763915,7.545,0.678,1.0,0.8,✅ Sufficient data,0.45968400000000004,8.323672400753624,,,,Lower-Middle,SLV,America,1.0
